product_id,display_name,brand,product_name,flavor,size_variant,total_reviews,pos_pct,neg_pct,neu_pct,avg_rating,verified_pct,avg_length,r1_pct,r2_pct,r3_pct,r4_pct,r5_pct,score,top_pos_terms,top_neg_terms
p1,Purina ONE,Purina ONE,Tender Selects Blend Adult Dry Cat Food,Chicken,16 lb bag,171,86.54970760233918,6.432748538011696,7.017543859649122,4.444444444444445,85.38011695906432,189.35087719298247,5.263157894736842,3.508771929824561,6.432748538011696,11.11111111111111,73.68421052631578,80.11695906432749,"[{'term': 'love', 'score': 8.352240124984641}, {'term': 'good', 'score': 5.044801426727775}, {'term': 'price', 'score': 4.12059947985218}, {'term': 'loves', 'score': 3.782035162126227}, {'term': 'really', 'score': 3.2407248354336184}, {'term': 'great', 'score': 2.80617053721765}, {'term': 'likes', 'score': 2.790618850308971}, {'term': 'time', 'score': 2.682696785858848}, {'term': 'eat', 'score': 2.397059635443864}, {'term': 'chicken', 'score': 2.3448243492538645}]","[{'term': 'didn', 'score': 0.5218741569730205}, {'term': 'crazy', 'score': 0.4680323768220117}, {'term': 'went', 'score': 0.4680323768220117}, {'term': 'went crazy', 'score': 0.4680323768220117}, {'term': 'bad', 'score': 0.4511899592967992}, {'term': 'chicken', 'score': 0.4421600280131718}, {'term': 'don', 'score': 0.3906312854584198}, {'term': 'disappointed', 'score': 0.3657083785206574}, {'term': 'kitties', 'score': 0.3012256451832532}, {'term': 'chicken rice', 'score': 0.2947733520087812}]"
p3,Hill's Science Diet,Hill's Science Diet,Adult Indoor Dry Cat Food,Chicken,15.5 lb bag,336,84.52380952380952,6.845238095238096,8.630952380952381,4.470238095238095,87.5,226.77678571428572,5.059523809523809,2.976190476190476,5.357142857142857,13.095238095238097,73.51190476190477,77.67857142857142,"[{'term': 'love', 'score': 13.741483646580477}, {'term': 'loves', 'score': 11.112033170930903}, {'term': 'good', 'score': 8.470634244546053}, {'term': 'great', 'score': 6.587663102025918}, {'term': 'eat', 'score': 6.009774230390664}, {'term': 'vet', 'score': 5.693564427365174}, {'term': 'price', 'score': 5.648010297694495}, {'term': 'likes', 'score': 5.0507723539017695}, {'term': 'healthy', 'score': 4.692282208617752}, {'term': 'years', 'score': 4.304337845934082}]","[{'term': 'eat', 'score': 1.138511957885617}, {'term': 'don', 'score': 1.134780425264868}, {'term': 'feeding', 'score': 0.7702137361572317}, {'term': 'good', 'score': 0.7112188263869772}, {'term': 'feed', 'score': 0.6040743494010933}, {'term': 'hill', 'score': 0.5471082699373345}, {'term': 'vet', 'score': 0.5245692714599628}, {'term': 'problems', 'score': 0.4974087891068462}, {'term': 'ordered', 'score': 0.4877496996909299}, {'term': 'chicken', 'score': 0.4768191318719542}]"
p5,Royal Canin,Royal Canin,Feline Care Nutrition Indoor Adult Dry Cat Food,Chicken,15 lb bag,159,81.76100628930818,8.176100628930817,10.062893081761008,4.515723270440252,92.45283018867924,301.0691823899371,5.660377358490567,3.1446540880503147,1.8867924528301887,12.578616352201259,76.72955974842768,73.58490566037737,"[{'term': 'love', 'score': 7.992205131619082}, {'term': 'good', 'score': 4.016719670755599}, {'term': 'loves', 'score': 3.907088249695134}, {'term': 'great', 'score': 2.767647769736346}, {'term': 'really', 'score': 2.66000712629038}, {'term': 'healthy', 'score': 2.628017327711245}, {'term': 'eat', 'score': 2.3014012834702924}, {'term': 'vet', 'score': 2.0690098897077585}, {'term': 'problems', 'score': 1.8993489732676216}, {'term': 'expensive', 'score': 1.866656710829803}]","[{'term': 'good', 'score': 0.5438289413509005}, {'term': 'eat', 'score': 0.4545413017946629}, {'term': 'happy', 'score': 0.4415909188745832}, {'term': 'doesn', 'score': 0.4372853865339643}, {'term': 'won', 'score': 0.375621901470957}, {'term': 'old', 'score': 0.3652710274105192}, {'term': 'plus', 'score': 0.3567107783135141}, {'term': 'won eat', 'score': 0.3259755398778027}, {'term': 'picky', 'score': 0.3231162566485447}, {'term': 'buying', 'score': 0.3184829894296659}]"
p4,IAMS,IAMS,Proactive Health Indoor Weight & Hairball Care Dry Cat Food,Chicken,7 lb bag,257,82.49027237354085,11.673151750972762,5.836575875486381,4.517509727626459,84.04669260700389,252.79377431906616,2.7237354085603114,5.058365758754864,5.447470817120623,11.284046692607005,75.4863813229572,70.81712062256808,"[{'term': 'love', 'score': 12.234034866851127}, {'term': 'great', 'score': 6.574202811593321}, {'term': 'good', 'score': 6.077843687427178}, {'term': 'price', 'score': 5.494657190433888}, {'term': 'loves', 'score': 4.255243744748668}, {'term': 'eat', 'score': 4.129967801149277}, {'term': 'hairballs', 'score': 3.962583608214301}, {'term': 'better', 'score': 3.655725910407711}, {'term': 'eating', 'score': 3.289985745521121}, {'term': 'likes', 'score': 3.102195343037533}]","[{'term': 'really', 'score': 0.9065027309768946}, {'term': 'stopped', 'score': 0.8229179889568435}, {'term': 'hairballs', 'score': 0.815603714159995}, {'term': 'don', 'score': 0.7401796379226614}, {'term': 'throwing', 'score': 0.7044602427000306}, {'term': 'need', 'score': 0.6392679038475032}, {'term': 'years', 'score': 0.6349288912974451}, {'term': 'sick', 'score': 0.629845868708043}, {'term': 'problem', 'score': 0.577746460331768}, {'term': 'time', 'score': 0.5686584480330301}]"
p2,Blue Buffalo,Blue Buffalo,Wilderness High Protein Natural Adult Dry Cat Food,Chicken,12 lb bag,352,76.98863636363636,15.340909090909092,7.670454545454546,4.301136363636363,92.61363636363636,249.0369318181818,9.090909090909092,3.4090909090909087,6.534090909090909,10.227272727272728,70.73863636363636,61.647727272727266,"[{'term': 'love', 'score': 12.740564875707523}, {'term': 'loves', 'score': 9.461399274500176}, {'term': 'great', 'score': 6.399939719991481}, {'term': 'good', 'score': 5.848394956236641}, {'term': 'eat', 'score': 5.314474941338845}, {'term': 'better', 'score': 4.683482232884311}, {'term': 'price', 'score': 4.277201047782604}, {'term': 'just', 'score': 4.217758672616029}, {'term': 'really', 'score': 4.036919173258919}, {'term': 'happy', 'score': 4.030079766017199}]","[{'term': 'didn', 'score': 1.230482843503072}, {'term': 'eat', 'score': 1.1832697963103604}, {'term': 've', 'score': 1.1123689300127284}, {'term': 'just', 'score': 1.0571428625351804}, {'term': 'stopped', 'score': 0.920640585640548}, {'term': 'eating', 'score': 0.8522116018952796}, {'term': 'vet', 'score': 0.8219128046056072}, {'term': 'got', 'score': 0.8217593561173917}, {'term': 'don', 'score': 0.8126342186475424}, {'term': 'vomiting', 'score': 0.8091822066299732}]"
